Dataset,Classifier,Metric,Standard,Oversampling,Proposed
Baseball,DT,Accuracy,\textbf{0.892 $\pm$ 0.008},0.856 $\pm$ 0.009,0.856 $\pm$ 0.009
Baseball,DT,F-score,\textbf{0.557 $\pm$ 0.029},0.552 $\pm$ 0.018,0.551 $\pm$ 0.020
Baseball,DT,G-mean,0.696 $\pm$ 0.014,\textbf{0.744 $\pm$ 0.024},0.743 $\pm$ 0.024
Baseball,KNN,Accuracy,\textbf{0.926 $\pm$ 0.003},0.877 $\pm$ 0.009,0.885 $\pm$ 0.009
Baseball,KNN,F-score,\textbf{0.605 $\pm$ 0.027},0.592 $\pm$ 0.020,0.584 $\pm$ 0.016
Baseball,KNN,G-mean,0.682 $\pm$ 0.030,\textbf{0.768 $\pm$ 0.021},0.762 $\pm$ 0.020
Baseball,LR,Accuracy,\textbf{0.923 $\pm$ 0.004},0.846 $\pm$ 0.009,0.854 $\pm$ 0.015
Baseball,LR,F-score,0.545 $\pm$ 0.047,0.563 $\pm$ 0.020,\textbf{0.567 $\pm$ 0.021}
Baseball,LR,G-mean,0.621 $\pm$ 0.039,0.803 $\pm$ 0.018,\textbf{0.805 $\pm$ 0.017}
Baseball,RF,Accuracy,\textbf{0.925 $\pm$ 0.005},0.898 $\pm$ 0.005,0.903 $\pm$ 0.007
Baseball,RF,F-score,0.601 $\pm$ 0.054,0.612 $\pm$ 0.031,\textbf{0.615 $\pm$ 0.030}
Baseball,RF,G-mean,0.712 $\pm$ 0.040,\textbf{0.781 $\pm$ 0.032},0.779 $\pm$ 0.032
GD,DT,Accuracy,0.789 $\pm$ 0.008,0.791 $\pm$ 0.007,\textbf{0.807 $\pm$ 0.007}
GD,DT,F-score,0.775 $\pm$ 0.008,0.779 $\pm$ 0.007,\textbf{0.796 $\pm$ 0.008}
GD,DT,G-mean,0.861 $\pm$ 0.005,0.864 $\pm$ 0.005,\textbf{0.874 $\pm$ 0.005}
GD,KNN,Accuracy,0.853 $\pm$ 0.010,0.860 $\pm$ 0.004,\textbf{0.873 $\pm$ 0.012}
GD,KNN,F-score,0.842 $\pm$ 0.011,0.855 $\pm$ 0.005,\textbf{0.865 $\pm$ 0.012}
GD,KNN,G-mean,0.903 $\pm$ 0.007,0.910 $\pm$ 0.003,\textbf{0.916 $\pm$ 0.008}
