Dataset,Classifier,Metric,G-SMOTE,NONE,RAND-OVER,RAND-UNDER,SMOTENC
Contraceptive,DT,mean_test_geometric_mean_score_macro,0.6608436778467874,0.6297386134501899,0.6304770107602392,0.6413969324836347,0.6463635249451548
Contraceptive,KNN,mean_test_accuracy,0.4650317075982936,0.4779591836734694,0.4345024789576848,0.46777816211230255,0.45486913409431573
Contraceptive,KNN,mean_test_f1_macro,0.4604252490911459,0.4623421030172472,0.43158922198880767,0.46141008665689487,0.4504633058283975
Contraceptive,KNN,mean_test_geometric_mean_score_macro,0.5882204565657853,0.5799219165947285,0.5664121526191208,0.5903660214209984,0.5787317478687248
Contraceptive,LR,mean_test_accuracy,0.5152404012452438,0.5138752450132594,0.5098028363887928,0.5098051423959415,0.5138798570275568
Contraceptive,LR,mean_test_f1_macro,0.5122006140529991,0.4915945421312678,0.5048621131814974,0.5056369757525312,0.5094037303992407
Contraceptive,LR,mean_test_geometric_mean_score_macro,0.6345050055390636,0.6035660256944588,0.6278736046299536,0.6271696010207222,0.6314327130371629
Contraceptive,RF,mean_test_accuracy,0.5526184711172605,0.5566539836273492,0.5335846881125331,0.5261270609938891,0.5397186671278681
Contraceptive,RF,mean_test_f1_macro,0.5451687376549915,0.5240936908118099,0.5294942326826717,0.5217158978620648,0.5353251199707411
Contraceptive,RF,mean_test_geometric_mean_score_macro,0.6589854182190041,0.6340800448989767,0.6485492583437515,0.6433853530679814,0.6531347520689043
Covertype,DT,mean_test_accuracy,0.5798,0.7045999999999999,0.567,0.44960000000000006,0.5873999999999999
Covertype,DT,mean_test_f1_macro,0.4840189061431617,0.48952986183840774,0.4750963441868034,0.3608564096164982,0.48073717442838787
Covertype,DT,mean_test_geometric_mean_score_macro,0.7694182991338991,0.6714700004525662,0.757633456107085,0.6999286225124306,0.7578347541991561
Covertype,KNN,mean_test_accuracy,0.6896,0.7003999999999999,0.6992,0.45380000000000004,0.6834
Covertype,KNN,mean_test_f1_macro,0.5319417438529319,0.456949754870672,0.5609496491643803,0.36672193135451225,0.534519210361838
Covertype,KNN,mean_test_geometric_mean_score_macro,0.7451176360588467,0.6424265591096366,0.7630986606036563,0.6913075083761948,0.7532107330718051
Covertype,LR,mean_test_accuracy,0.637,0.7213999999999999,0.6112,0.4718,0.6402
Covertype,LR,mean_test_f1_macro,0.5158135222016471,0.5071738877135832,0.4917199893607684,0.3530355742392004,0.5260239829541389
Covertype,LR,mean_test_geometric_mean_score_macro,0.7919355276597182,0.6783269313210001,0.7901363442349806,0.696585838754123,0.7855311091972733
Covertype,RF,mean_test_accuracy,0.598,0.7041999999999999,0.587,0.48519999999999996,0.5826
Covertype,RF,mean_test_f1_macro,0.5172549364365129,0.3601874777260683,0.5190519619929826,0.394358171855488,0.5072313158368462
Covertype,RF,mean_test_geometric_mean_score_macro,0.799685847826269,0.5724026617837391,0.8037327823838012,0.7368873308633075,0.7993878571460711
Credit Approval,DT,mean_test_accuracy,0.8667762771579566,0.8468115091015855,0.8606694069289489,0.8652495596007046,0.8621961244862009
Credit Approval,DT,mean_test_f1_macro,0.8667469531623858,0.8447344795451166,0.8606030103529123,0.8652216591180079,0.8621710720871167
Credit Approval,DT,mean_test_geometric_mean_score_macro,0.873505145752102,0.8483440094427204,0.8667537333227235,0.8718384790854354,0.869032452720087
Credit Approval,KNN,mean_test_accuracy,0.8698649442160893,0.8652495596007046,0.8698649442160893,0.8652613035819143,0.8683382266588373
Credit Approval,KNN,mean_test_f1_macro,0.8692384206695751,0.8641470417651419,0.869099857833576,0.8644379046512466,0.8674261864937358
Credit Approval,KNN,mean_test_geometric_mean_score_macro,0.8711417469032652,0.8646051165751573,0.8705405692156706,0.8657705365905415,0.86830097344898
Credit Approval,LR,mean_test_accuracy,0.8728714034057544,0.8683029947152086,0.8744216089254258,0.8729066353493835,0.8713916617733413
Credit Approval,LR,mean_test_f1_macro,0.872541744764219,0.8681103879484464,0.8742224792104594,0.8727883639394204,0.8712888338682905
Credit Approval,LR,mean_test_geometric_mean_score_macro,0.8765933264369645,0.8728974695631416,0.8787590514840454,0.8779626535105169,0.8765933264369645
Credit Approval,RF,mean_test_accuracy,0.8759953024075162,0.8774985320023487,0.8683264826776277,0.8683264826776277,0.8714034057545508
Credit Approval,RF,mean_test_f1_macro,0.875637437534343,0.8768359795137565,0.8680905433896683,0.8681465607613932,0.8712387458197334
Credit Approval,RF,mean_test_geometric_mean_score_macro,0.8787829898411182,0.8786895573061722,0.8723245404631177,0.8732317445160606,0.8760203973369407
German Credit,DT,mean_test_accuracy,0.704,0.713,0.66,0.644,0.702
German Credit,DT,mean_test_f1_macro,0.6622531876397844,0.6081667350512667,0.63321548531746,0.623009813824517,0.6542077405122146
German Credit,DT,mean_test_geometric_mean_score_macro,0.6811904761904761,0.6078571428571429,0.6633333333333333,0.6602380952380952,0.6666666666666666
German Credit,KNN,mean_test_accuracy,0.681,0.718,0.67,0.641,0.6819999999999999
German Credit,KNN,mean_test_f1_macro,0.652845392268975,0.6283880819720025,0.6359344038213673,0.6159666443956915,0.6498670792069274
German Credit,KNN,mean_test_geometric_mean_score_macro,0.675,0.6214285714285716,0.6557142857142857,0.6416666666666666,0.6683333333333333
German Credit,LR,mean_test_accuracy,0.7270000000000001,0.751,0.7240000000000001,0.712,0.729
German Credit,LR,mean_test_f1_macro,0.6951356628491012,0.6813964124503096,0.697136613437961,0.6862118869805973,0.6971050643794375
German Credit,LR,mean_test_geometric_mean_score_macro,0.7216666666666667,0.6719047619047618,0.72,0.7128571428571429,0.7130952380952381
German Credit,RF,mean_test_accuracy,0.76,0.741,0.737,0.7,0.739
German Credit,RF,mean_test_f1_macro,0.700646936552159,0.5799193469296589,0.7093897497875827,0.6795148547192527,0.7023858782084618
German Credit,RF,mean_test_geometric_mean_score_macro,0.7154761904761905,0.5880952380952381,0.7302380952380952,0.7188095238095238,0.7161904761904762
Heart Disease,DT,mean_test_accuracy,0.5324324324324324,0.5662162162162163,0.47297297297297297,0.4297297297297297,0.5094594594594595
Heart Disease,DT,mean_test_f1_macro,0.3712548974521269,0.32170017054461286,0.33134339814242186,0.29483820618265516,0.34246338890601097
Heart Disease,DT,mean_test_geometric_mean_score_macro,0.5875286903830951,0.5335442667975996,0.544911668048094,0.5152263061017097,0.5626001330126745
Heart Disease,KNN,mean_test_accuracy,0.5378378378378379,0.5635135135135135,0.5337837837837838,0.504054054054054,0.5351351351351351
Heart Disease,KNN,mean_test_f1_macro,0.3629934355969306,0.2866924089673081,0.35154913524509257,0.34095053437903095,0.36019440105890566
Heart Disease,KNN,mean_test_geometric_mean_score_macro,0.5710999359236908,0.5092584279181102,0.5602099162338122,0.5574239909168968,0.5706656859633361
Heart Disease,LR,mean_test_accuracy,0.5581081081081082,0.5837837837837838,0.5364864864864866,0.4797297297297297,0.5567567567567568
Heart Disease,LR,mean_test_f1_macro,0.39654936364160054,0.3292311428071449,0.3741992924716026,0.3325452994567678,0.3947270984948321
Heart Disease,LR,mean_test_geometric_mean_score_macro,0.6013919632369154,0.538833839661457,0.60333477841767,0.5670915705809169,0.6008963790909567
Heart Disease,RF,mean_test_accuracy,0.5527027027027026,0.6013513513513514,0.5391891891891891,0.4797297297297297,0.545945945945946
Heart Disease,RF,mean_test_f1_macro,0.3848377288870701,0.31354496888845385,0.35973367536809336,0.32624282708464614,0.36577708826800226
Heart Disease,RF,mean_test_geometric_mean_score_macro,0.6001207573947351,0.531363601502575,0.5690521465159233,0.5661299795185781,0.5798907614558374
Thyroid,DT,mean_test_accuracy,0.9523999999999999,0.9532,0.9464,0.9475999999999999,0.9518000000000001
Thyroid,DT,mean_test_f1_macro,0.9415805588999406,0.9411571508063087,0.9347579277318371,0.936239660379268,0.9413390899238212
Thyroid,DT,mean_test_geometric_mean_score_macro,0.953459990245962,0.9400046694382592,0.9481371531712798,0.9496577916466176,0.9548113966622918
Thyroid,KNN,mean_test_accuracy,0.8355999999999998,0.8398,0.8295999999999999,0.8103999999999999,0.8305999999999999
Thyroid,KNN,mean_test_f1_macro,0.7905847806373121,0.7776544218344393,0.7896647457303635,0.7685548093101184,0.7850017287554838
Thyroid,KNN,mean_test_geometric_mean_score_macro,0.7951179272242332,0.7553076412572217,0.7943126904654152,0.7761030785461112,0.7814773763294145
Thyroid,LR,mean_test_accuracy,0.7756000000000001,0.818,0.7746000000000001,0.7746,0.7712000000000001
Thyroid,LR,mean_test_f1_macro,0.7334256512695019,0.720594075191196,0.7324581903006859,0.7334217960496007,0.7278241443297013
Thyroid,LR,mean_test_geometric_mean_score_macro,0.748464367263882,0.6930106927952397,0.7473728866355371,0.7494037569361979,0.7418193452244244
Thyroid,RF,mean_test_accuracy,0.9416,0.925,0.9438000000000001,0.9388,0.9390000000000001
Thyroid,RF,mean_test_f1_macro,0.9280175553876664,0.9016612141585514,0.9306147092359197,0.9248869853856533,0.9248227165463124
Thyroid,RF,mean_test_geometric_mean_score_macro,0.935909338901619,0.8855944654493447,0.9375776220378009,0.934355988002985,0.932237627795846
